,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
12,fukumean,Gunna,a Gift & a Curse,5qmZefgh78fN3jsyPPlvuw,4rXLjWdF2ZZpXCVTfWcshS,86,6/16/2023,125040,TRUE,https://open.spotify.com/track/4rXLjWdF2ZZpXCVTfWcshS,0.847,0.622,1,-6.747,0,0.0903,0.119,0,0.285,0.22,130.001
13,I'm Good (Blue),"David Guetta, Bebe Rexha",I'm Good (Blue),7M842DMhYVALrXsw3ty7B3,4uUG5RXrOk84mYEfFvj3cK,88,8/26/2022,175238,TRUE,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07E-06,0.371,0.304,128.04
14,Whatever,"Kygo, Ava Max",Whatever,2DoFm78vsYw31kJRzvIP4l,0LMwmV37RCmBO2so0szAFs,86,1/19/2024,178273,FALSE,https://open.spotify.com/track/0LMwmV37RCmBO2so0szAFs,0.58,0.777,3,-5.69,1,0.0655,0.104,0,0.342,0.589,108.005
15,Miles On It,"Marshmello, Kane Brown",Miles On It,5gWV4yp27HCbXJ1YLe8hQM,4pkb8SbRGeHAvdb87v9rpf,85,5/3/2024,168454,FALSE,https://open.spotify.com/track/4pkb8SbRGeHAvdb87v9rpf,0.634,0.761,5,-4.752,1,0.0472,0.00537,0,0.549,0.785,129.963
16,Tell Ur Girlfriend,Lay Bankz,Tell Ur Girlfriend,0S8DGX9LmBkRSVi3ywcCOT,3lMzT16MjAKKXF7pSZn13B,85,2/7/2024,124444,TRUE,https://open.spotify.com/track/3lMzT16MjAKKXF7pSZn13B,0.866,0.741,7,-4.66,1,0.245,0.0933,0,0.0297,0.614,135.07
17,Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin",Without Warning,0MV1yCXcNNQBfwApqAVkH0,7sO5G9EABYOXQKNPNiE9NR,84,10/30/2017,172800,TRUE,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,0.88,0.428,9,-8.28,1,0.206,0.149,5.05E-05,0.114,0.333,100.007
18,Save Your Tears,The Weeknd,After Hours,4yP0hdKOZPNshxUOjY0cZj,5QO79kh1waicV47BqGRL3g,84,3/20/2020,215627,TRUE,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,0.679,0.825,0,-5.487,1,0.0309,0.0212,1.21E-05,0.543,0.644,118.049
19,Overdrive (feat. Norma Jean Martine),"Ofenbach, Norma Jean Martine",Overdrive (feat. Norma Jean Martine),2axYqSKAhWaN60ijTZ0XXg,3bK1zVFBKIzYjmptmI4NsJ,84,10/6/2023,155905,FALSE,https://open.spotify.com/track/3bK1zVFBKIzYjmptmI4NsJ,0.611,0.757,6,-3.546,1,0.03,0.00257,0,0.058,0.279,126.963
20,Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),79Cyc8GRWnLyjdJSMyJ0dB,31nfdEooLEq7dn3UMcIeB5,84,8/4/2023,178156,FALSE,https://open.spotify.com/track/31nfdEooLEq7dn3UMcIeB5,0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959
21,SLAY!,Eternxlkz,SLAY!,3xCc8FxQsm6AE7ZWJ7h5sx,67smGwuPEtA6GAfeweAVNO,84,3/15/2024,107077,TRUE,https://open.spotify.com/track/67smGwuPEtA6GAfeweAVNO,0.681,0.773,1,-4.706,1,0.0345,0.0863,0.734,0.0978,0.504,129.923
22,The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,52u4anZbHd6UInnmHRFzba,0nbXyq5TXYPCO7pr3N8S4I,83,12/6/2019,196653,TRUE,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971
23,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",Baby Don't Hurt Me,327tc3Eruk1HP1w62iqROy,3BKD1PwArikchz2Zrlp1qi,85,4/6/2023,140018,FALSE,https://open.spotify.com/track/3BKD1PwArikchz2Zrlp1qi,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944
24,Give It To Me - Full Vocal Mix,Matt Sassari,Give It To Me (Full Vocal Mix),1jbRY71konakrKvDUiW7Rp,5ZduaRci3iNUiDfJbBfAaf,83,10/22/2021,102861,FALSE,https://open.spotify.com/track/5ZduaRci3iNUiDfJbBfAaf,0.874,0.869,1,-5.996,0,0.0315,0.00116,0.00238,0.164,0.726,126.027
25,It's Not Right But It's Okay,Mr. Belt & Wezol,It's Not Right But It's Okay,116jZe8fEmfjKBh4d8ZcDO,5OFVzqSeFxGpvDGyHvVeLj,83,2/23/2024,152305,FALSE,https://open.spotify.com/track/5OFVzqSeFxGpvDGyHvVeLj,0.755,0.86,5,-4.811,0,0.0523,0.0144,7.47E-06,0.344,0.618,128.004
26,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",Music To Be Murdered By,4otkd9As6YaxxEkIjXPiZ6,7FIWs0pqAYbP91WWM0vlTQ,82,1/17/2020,210800,TRUE,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995
27,Push Ups,Drake,Push Ups,06me0leRR3AuF4IFiEytml,3eh51r6rFWAlGQRlHx9QnQ,82,4/19/2024,232774,TRUE,https://open.spotify.com/track/3eh51r6rFWAlGQRlHx9QnQ,0.598,0.696,2,-4.789,1,0.112,0.0153,0,0.219,0.209,91.057
28,BELLAKEO,"Peso Pluma, Anitta",BELLAKEO,3VLY9g3CAG1Y5r2eGVEaZ0,05WVKTdZhlIMX4qqMLuo0f,82,12/7/2023,197333,TRUE,https://open.spotify.com/track/05WVKTdZhlIMX4qqMLuo0f,0.72,0.88,9,-2.834,1,0.101,0.0562,0.06,0.153,0.463,180.011
29,Tití Me Preguntó,Bad Bunny,Un Verano Sin Ti,3RQQmkQEvNCY4prGKE6oc5,1IHWl5LamUGEuP4ozKQSXZ,82,5/6/2022,243717,TRUE,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672
30,SICKO MODE,Travis Scott,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,2xLMifQCjDGFmkHkpNLD9h,81,8/3/2018,312820,TRUE,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008
31,CUTE DEPRESSED,Dyan Dxddy,CUTE DEPRESSED,5qaY84OJqYT635rMGeWBzJ,06PqeO7IInus2yvzsZwZhf,81,2/2/2024,96947,FALSE,https://open.spotify.com/track/06PqeO7IInus2yvzsZwZhf,0.83,0.919,10,-2.12,0,0.145,0.503,0.748,0.0757,0.848,151.221
32,Alibi (feat. Rudimental),"Ella Henderson, Rudimental",Alibi (feat. Rudimental),3Ku8LDPYg53Kh59amfFWjL,5Jpz4nv8nA6FIYO5gEyQa2,81,1/12/2024,184852,FALSE,https://open.spotify.com/track/5Jpz4nv8nA6FIYO5gEyQa2,0.545,0.793,0,-3.615,0,0.0371,0.191,0.00281,0.335,0.411,87.024
33,Deep Down (feat. Never Dull),"Alok, Ella Eyre, Kenny Dope, Never Dull",Deep Down (feat. Never Dull),3KpxpdySrMR2S7noneu1bI,7MIhUdNJtaOnDmC5nBC1fb,81,6/17/2022,165753,FALSE,https://open.spotify.com/track/7MIhUdNJtaOnDmC5nBC1fb,0.687,0.818,0,-4.221,1,0.0778,0.0112,0,0.248,0.886,125.952
34,Push Up - Main Edit,Creeds,Push Up (Main Edit),3v5BP6gPT1nNU9rjs57fF0,3AjSfp5FDvwtMU9XBsbS8j,80,3/31/2023,139300,FALSE,https://open.spotify.com/track/3AjSfp5FDvwtMU9XBsbS8j,0.767,0.83,7,-8.78,1,0.206,0.209,0.836,0.0582,0.187,75.023
35,METAMORPHOSIS,INTERWORLD,METAMORPHOSIS,3apQZbgVql9mHJlp43jk5D,2ksyzVfU0WJoBpu8otr4pz,80,11/25/2021,142839,TRUE,https://open.spotify.com/track/2ksyzVfU0WJoBpu8otr4pz,0.593,0.641,7,-12.727,0,0.0992,0.426,0.901,0.122,0.147,175.014
36,Doja,Central Cee,Doja,6oECjagksATHu2UaclXrq1,3LtpKP5abr2qqjunvjlX5i,80,7/21/2022,97393,TRUE,https://open.spotify.com/track/3LtpKP5abr2qqjunvjlX5i,0.911,0.573,6,-7.43,1,0.288,0.38,0,0.403,0.972,140.04
37,Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA",For All The Dogs,4czdORdCWP9umpbhFXK2fW,1yeB8MUNeLo9Ek1UEpsyz6,82,10/6/2023,319192,TRUE,https://open.spotify.com/track/1yeB8MUNeLo9Ek1UEpsyz6,0.636,0.729,2,-4.495,1,0.055,0.0458,0,0.384,0.141,146.009
38,LET'S GET FKD UP,"Alok, Mondello'G, CERES, Tribbs",LET'S GET FKD UP (feat. Tribbs),1zz2cxnkEpgyLdSmoPBEjK,0iB5f04XdJ2tcfhoVkeLV8,80,11/17/2023,121500,TRUE,https://open.spotify.com/track/0iB5f04XdJ2tcfhoVkeLV8,0.65,0.946,10,-5.454,1,0.0421,0.00191,0.127,0.149,0.425,160.027
39,Yeah Glo!,GloRilla,Ehhthang Ehhthang,0SW0LplxFID1otCk4bhhHI,5A8xI7PN4WDe9e61xEdt94,80,4/5/2024,142703,TRUE,https://open.spotify.com/track/5A8xI7PN4WDe9e61xEdt94,0.894,0.66,11,-5.349,0,0.33,0.0243,0,0.139,0.181,148.072
40,Get It Sexyy,Sexyy Red,Get It Sexyy,3ahxhuhmGJiN0CWLOff9Sw,2MjXWroB9wlTG2kqv3avfS,79,3/15/2024,148552,TRUE,https://open.spotify.com/track/2MjXWroB9wlTG2kqv3avfS,0.811,0.64,5,-5.63,0,0.274,0.0957,0,0.127,0.527,145.031
41,Belly Dancer,"Imanbek, BYOR",Belly Dancer,2npvQTpyjLtapBWTNTNlqn,7fZBQnc0zXwVybgCIrQQil,79,2/18/2022,151475,FALSE,https://open.spotify.com/track/7fZBQnc0zXwVybgCIrQQil,0.845,0.797,1,-4.984,1,0.139,0.0582,5.57E-06,0.167,0.422,121.985
42,Thunder,"Gabry Ponte, LUM!X, Prezioso",Thunder,35Q09Y0b7ZxOoCdF7sBiGf,2USlegnFJLrVLpoVfPimKB,79,5/7/2021,160000,FALSE,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB,0.67,0.896,1,-4.673,1,0.058,0.0342,3.21E-05,0.344,0.403,101.216
43,Pepas,Farruko,Pepas,2A5ksnhz7YWbRLvFMjX1j1,5fwSHlTEWpluwOM0Sxnh5k,79,6/24/2021,287120,TRUE,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98E-05,0.128,0.442,130.001
44,Murder In My Mind,Kordhell,Murder In My Mind,68GI09qAs2XLJmA3hj5K7y,6qyS9qBy0mEk3qYaH8mPss,79,1/21/2022,145000,TRUE,https://open.spotify.com/track/6qyS9qBy0mEk3qYaH8mPss,0.712,0.972,10,-0.514,1,0.112,0.00547,7.06E-05,0.128,0.568,119.966
45,Call It Love,"Felix Jaehn, Ray Dalton",Call It Love,5c3YGhnf058Op4YviM73wn,5YdnOm5990Kfq1Jodws98B,78,9/16/2022,154561,FALSE,https://open.spotify.com/track/5YdnOm5990Kfq1Jodws98B,0.616,0.841,5,-4.779,0,0.076,0.0559,0.00217,0.417,0.714,110.029
46,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage","Honestly, Nevermind",3cf4iSSKd8ffTncbtKljXw,3F5CgOj3wFlRv51JsHbxhe,82,6/17/2022,218365,TRUE,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41E-06,0.093,0.366,165.921
47,Boyz In Paris (with VINAI),"Marnik, Naeleck, VINAI",Boyz In Paris (with VINAI),3FrWieInAhMTL33yALP6H0,17NHXI2CJp7KgdcwcDnRx4,77,7/28/2023,151589,TRUE,https://open.spotify.com/track/17NHXI2CJp7KgdcwcDnRx4,0.628,0.967,1,-4.068,1,0.0485,0.0398,4.67E-05,0.274,0.399,149.036
48,Dernière danse - Techno Mix,"Indila, BENNETT",Dernière danse (Techno Mix),3MhGOga5TlR7JfKxDSxv9Q,5fIZ683j2xPeLAXfHeWKEG,77,1/26/2024,197143,FALSE,https://open.spotify.com/track/5fIZ683j2xPeLAXfHeWKEG,0.589,0.734,0,-5.365,0,0.077,0.0289,0.000299,0.326,0.356,140.004
49,Words (feat. Zara Larsson),"Alesso, Zara Larsson",Words (feat. Zara Larsson),66W7mt0wKGLFALilLBLfU6,1bgKMxPQU7JIZEhNsM1vFs,76,4/22/2022,142677,FALSE,https://open.spotify.com/track/1bgKMxPQU7JIZEhNsM1vFs,0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026
50,Private Landing (feat. Justin Bieber & Future),"Don Toliver, Justin Bieber, Future",Love Sick,26z5llzd194mcCZHADWd6k,52NGJPcLUzQq5w7uv4e5gf,76,2/24/2023,238253,TRUE,https://open.spotify.com/track/52NGJPcLUzQq5w7uv4e5gf,0.858,0.641,1,-4.31,0,0.0954,0.111,2.12E-05,0.109,0.445,136.991
51,El Merengue,"Marshmello, Manuel Turizo",El Merengue,6sU751LOdNBPvVErW1GunP,51FvjPEGKq2zByeeEQ43V9,76,3/3/2023,189669,FALSE,https://open.spotify.com/track/51FvjPEGKq2zByeeEQ43V9,0.778,0.772,8,-3.079,0,0.0556,0.0929,0.000552,0.0883,0.661,123.982
52,Tacata (Remix),"Tiagz, Fuerza Regida, El Alfa",Tacata (Remix),2GfGGlindjNS4kkZinqKdA,7LLBONqWyX3MoBvIVPu5fj,75,12/22/2023,156716,TRUE,https://open.spotify.com/track/7LLBONqWyX3MoBvIVPu5fj,0.922,0.678,9,-6.016,1,0.146,0.377,0.00279,0.412,0.58,134.012
53,FTCU,Nicki Minaj,Pink Friday 2,2bYCNZfxZrTUv1CHXkz2d2,1a73gcEg6h6Re6hHXoVltJ,75,12/8/2023,172138,TRUE,https://open.spotify.com/track/1a73gcEg6h6Re6hHXoVltJ,0.93,0.435,11,-6.694,1,0.202,0.0173,0.000287,0.117,0.227,144.978
54,First Person Shooter (feat. J. Cole),"Drake, J. Cole",For All The Dogs,4czdORdCWP9umpbhFXK2fW,7aqfrAY2p9BUSiupwk3svU,79,10/6/2023,247444,TRUE,https://open.spotify.com/track/7aqfrAY2p9BUSiupwk3svU,0.475,0.655,11,-7.342,0,0.33,0.0306,0,0.375,0.245,163.997
55,Lay Low,Tiësto,Lay Low,0EYKSXXTsON8ZA95BuCoXn,0zKbDrEXKpnExhGQRe9dxt,75,1/6/2023,153443,FALSE,https://open.spotify.com/track/0zKbDrEXKpnExhGQRe9dxt,0.555,0.884,1,-4.424,0,0.213,0.0645,8.18E-05,0.349,0.42,121.906
56,"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Chase & Status, Bou, Flowdan, IRAH, Trigga, Takura","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",2xV74PLdZg5gwA65xGF8cF,2ZWmmrWUgDBcPSLihBMvhg,75,7/27/2023,177292,FALSE,https://open.spotify.com/track/2ZWmmrWUgDBcPSLihBMvhg,0.633,0.931,1,-0.424,1,0.228,0.214,0.00398,0.0585,0.566,87.537
57,Where You Are,"John Summit, HAYLA",Where You Are,4bIEy1wDeaEklS1BanbsmR,4qDpLaFGf5ampf2DXD2TMA,75,3/3/2023,236000,FALSE,https://open.spotify.com/track/4qDpLaFGf5ampf2DXD2TMA,0.567,0.83,9,-6.402,0,0.0349,0.00879,0.0105,0.529,0.0726,126.04
58,Sunshine (My Girl),Wuki,Sunshine (My Girl),7AE0HaidGUaRBSmIZmJ8As,2bI6KAUqXeIXGAEEvup8ri,75,9/1/2023,131250,FALSE,https://open.spotify.com/track/2bI6KAUqXeIXGAEEvup8ri,0.871,0.765,0,-4.602,1,0.116,0.00742,0.000196,0.0953,0.596,128.087
59,21 Reasons (feat. Ella Henderson),"Nathan Dawe, Ella Henderson",21 Reasons (feat. Ella Henderson),118PKNjhP4NWcrW5OjMwzc,1RF02Cf80mTaeNXG2P2boR,75,4/29/2022,155253,FALSE,https://open.spotify.com/track/1RF02Cf80mTaeNXG2P2boR,0.621,0.785,6,-4.499,1,0.11,0.0165,5.92E-06,0.0512,0.779,123.96
60,LET GO,Central Cee,LET GO,1QYPAEk2Ksj3WPv3mvoDnL,3zkyus0njMCL6phZmNNEeN,75,12/15/2022,174247,TRUE,https://open.spotify.com/track/3zkyus0njMCL6phZmNNEeN,0.747,0.413,2,-11.197,0,0.488,0.848,0,0.17,0.481,146.05
61,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),622NFw5Yk0OReMJ2XWcXUh,27NovPIUIRrOZoCHxABJwK,75,7/23/2021,212000,TRUE,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK,0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995
62,10:35,"Tiësto, Tate McRae",10:35,77wWx9sOCJiy0wcn0P44NO,6BePGk3eCan4FqaW2X8Qy3,75,11/3/2022,172253,FALSE,https://open.spotify.com/track/6BePGk3eCan4FqaW2X8Qy3,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78E-06,0.18,0.698,120.003
63,Nonstop,Drake,Scorpion,1ATL5GLyefJaxhQzSPVrLX,0TlLq3lA83rQOYtrqBqSct,75,6/29/2018,238614,TRUE,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983
64,Goosebumps - Remix,"Travis Scott, HVME",Goosebumps (Remix),3SdFuYwyWoq7kuaHdTDcyD,5uEYRdEIh9Bo4fpjDd4Na9,75,1/15/2021,162803,TRUE,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9,0.841,0.593,1,-7.846,1,0.0379,0.418,0,0.124,0.808,124.917
65,Tell Me Why - MEDUZA Remix,"Supermode, MEDUZA",Tell Me Why (MEDUZA Remix),6CTjQWx50yUs4wNu95cnlM,7jrMFjEq0t09f7m3HnnWXl,74,9/2/2022,171429,FALSE,https://open.spotify.com/track/7jrMFjEq0t09f7m3HnnWXl,0.561,0.928,6,-5.812,0,0.0371,0.087,0.894,0.332,0.182,125.988
66,One in a Million,"Bebe Rexha, David Guetta",One in a Million,65L5VcKGKe6sOJIPNFc0Q1,3YfGTvsTAWGC2lgoDOikUz,74,8/4/2023,160530,FALSE,https://open.spotify.com/track/3YfGTvsTAWGC2lgoDOikUz,0.454,0.931,11,-4.083,1,0.0321,0.238,0.000623,0.289,0.462,137.945
67,Rainfall (Praise You),Tom Santa,Rainfall (Praise You),4VanY5i4E59Mhz52qznJ95,1M8t1j3Kv2qp97bdq5q4Vl,74,2/18/2022,166570,FALSE,https://open.spotify.com/track/1M8t1j3Kv2qp97bdq5q4Vl,0.767,0.862,5,-5.464,0,0.0606,0.14,0.0092,0.252,0.509,128.039
68,REACT,"Switch Disco, Ella Henderson, Robert Miles",REACT,3opvHAj80TIQMZAg9a2FNv,1UPHCP5YeVfele4DMbdGyi,74,1/13/2023,201146,FALSE,https://open.spotify.com/track/1UPHCP5YeVfele4DMbdGyi,0.737,0.899,6,-3.189,0,0.0556,0.0329,0,0.186,0.358,125.992
69,In My Bones,"Lost Frequencies, David Kushner",In My Bones,1KIJzQIjSlJaSQZ9qLf1kB,1dcK8O2qEq7E34o4ImQEco,74,4/19/2024,156127,FALSE,https://open.spotify.com/track/1dcK8O2qEq7E34o4ImQEco,0.657,0.773,6,-5.985,0,0.0391,0.0782,3.57E-05,0.25,0.324,128.013
70,Bulletproof,"La Roux, GAMPER & DADONI",Bulletproof,5TSSlGJmfkBNC4M3uoMswL,0SyxZC4wlqAwf20cHE6Xon,74,5/21/2021,162213,FALSE,https://open.spotify.com/track/0SyxZC4wlqAwf20cHE6Xon,0.752,0.771,6,-5.95,1,0.0311,0.00341,1.73E-05,0.0905,0.527,126.02
71,Bad Memories (feat. Elley Duhé & FAST BOY),"MEDUZA, James Carter, Elley Duhé, FAST BOY",Bad Memories (feat. Elley Duhé & FAST BOY),44aG7QLYLGotCTlu5Fc2J7,3rb0tMq42WfggucPm0HHkA,73,7/22/2022,148629,FALSE,https://open.spotify.com/track/3rb0tMq42WfggucPm0HHkA,0.607,0.767,5,-6.069,0,0.0474,0.118,0,0.122,0.662,123.998
72,The Motto,"Tiësto, Ava Max",The Motto,278z9UXJaMNDH9Bel9uAxV,18asYwWugKjjsihZ0YvRxO,74,11/4/2021,164819,FALSE,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23E-05,0.0901,0.464,117.953
73,leavemealone,"Fred again.., Baby Keem",leavemealone,3Tsut3cVOWP7AKAR4Dtmhb,1MVqeIAwhD4T44AKVkIfic,73,12/8/2023,222784,TRUE,https://open.spotify.com/track/1MVqeIAwhD4T44AKVkIfic,0.68,0.881,0,-4.503,1,0.0553,0.00499,0.0253,0.574,0.105,174.062
74,SAY MY GRACE (feat. Travis Scott),"Offset, Travis Scott",SET IT OFF,1D1hLipjrdB6pnxurMtC3E,2Gk6fi0dqt91NKvlzGsmm7,73,10/13/2023,173253,TRUE,https://open.spotify.com/track/2Gk6fi0dqt91NKvlzGsmm7,0.772,0.631,10,-5.082,1,0.0431,0.0648,0,0.129,0.433,121.854
75,Just Wanna Rock,Lil Uzi Vert,Just Wanna Rock,2FD6g8bXEn2uQMYbeqqoCg,4FyesJzVpA39hbYvcseO2d,73,10/17/2022,123891,TRUE,https://open.spotify.com/track/4FyesJzVpA39hbYvcseO2d,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187
76,"Are You Going to See the Rose in the Vase, or the Dust on the Table",$uicideboy$,"Are You Going to See the Rose in the Vase, or the Dust on the Table",1X1uDkDDs2BQiKlghA0gVQ,78RdTKcI2CediltTnGLIqr,73,4/19/2024,150943,TRUE,https://open.spotify.com/track/78RdTKcI2CediltTnGLIqr,0.749,0.505,11,-6.793,0,0.0458,0.0752,0,0.494,0.258,140.006
77,Lie,NF,Perception,1KOmHyNLuOe5YrPhD3Juuf,07FkzikE6FuHIa8Ma7zJGc,73,10/6/2017,209213,FALSE,https://open.spotify.com/track/07FkzikE6FuHIa8Ma7zJGc,0.749,0.659,5,-6.419,1,0.167,0.161,0,0.246,0.185,95.008
78,Everybody (feat. Lil Uzi Vert),"Nicki Minaj, Lil Uzi Vert",Pink Friday 2,2bYCNZfxZrTUv1CHXkz2d2,5ZJGv7aGdIr9IGpxzSG18T,73,12/8/2023,180870,TRUE,https://open.spotify.com/track/5ZJGv7aGdIr9IGpxzSG18T,0.737,0.774,11,-5.525,0,0.257,0.0262,0,0.238,0.428,137.959
